name,trade
Laptop LENOVO IdeaPad 110-15IBR (80T700F8PB),4
PISTOLET PNEUMATYCZNY BERSA THUNDER,10
iPhone 7 Plus 32GB Gold,17
SE 4001 odkurzacz piorący Karcher SILVER EDITION+,2
Odkurzacz KARCHER VC 3 11981250,2
Lodówka SAMSUNG RB31FERNDEF,2
"Antresola Prawa, sonoma/lawenda z materacem + led",3
Lodówka SAMSUNG RFG23UERS1/XEO,2
Helly Hansen Kurtka damska sztormiak (36271) NEWPO,6
Rower KARBON Spike R40 27.5 Czarno-Niebiesko-Biały,5
Laptop HP 17-X032NW (W7A94EA),4
ZEGAREK MĘSKI LORUS RL431AX9G,99
GRIS NAROŻNIK Z FUNKCJĄ TKANINA INARI91/LUX23,3
Blu-ray PANASONIC DMP-BDT281,1
Pralka WHIRLPOOL AWO/C 61203P,2
Pirelli P1 Cinturato Verde 215/50R17 95 V XL,14
Pralka BEKO MWTV 6533 BB,2
Rower crossowy Cube Nature 2016 męski czarny rozm,5
PARIS ŁÓŻKO 140 DĄB PARIS,3
Konsola Sony PlayStation 4 500GB,4
Lodówka ELECTROLUX EN 3201 MOW,2
Telewizor SAMSUNG UE50KU6000W,1
Odkurzacz ELECTROLUX Z9900EL AeroPerformer,2
Router TP-LINK TL-WR1043ND,4
Narożnik Nordens z pufą Etna:23 metal,3
Telewizor SHARP LED LC-40CFE6242E,1
Lowe Alpine plecak rowerowy AirZone Velo 30 black,5
Laptop MSI GL62 7RD-615PL,4
"Rower Unibike Mission koła 27,5 2017",5